ID,Categoria,Argomento,Normativa_Riferimento,Orario,Colonna_F_Testo_Elaborazione,Stato
51,Antico Testamento,Il Banchetto di Baldassarre e la Scrittura,Daniele 5,20:00,"Ecco a voi in 2 minuti: la scritta misteriosa sul muro della reggia. Re Baldassarre tiene un banchetto sfarzoso a Babilonia profanando i vasi d'oro del tempio. All'improvviso appare una mano d'uomo che scrive sul muro: Mene, Tekel, Peres. I sapienti del regno tacciono confusi. Daniele interpreta il responso: il regno è stato pesato sulla bilancia della giustizia e trovato mancante. Nessun potere terreno può prevalere sulla sovranità divina.",Pronto
52,Antico Testamento,La Pianta di Ricino e il Rimprovero a Giona,Giona 4,20:00,"Ecco a voi in 2 minuti: la lezione di misericordia data a Giona. Salvo Ninive dal castigo per il pentimento dei suoi abitanti, Giona siede all'ombra sdegnato. L'Eterno fa crescere una pianta di ricino per dargli sollievo, poi invia un verme a farla seccare. Quando Giona si lamenta per la pianta, Dio gli mostra la sproporzione: «Tu hai pietà di un ricino per cui non hai faticato, e io non dovrei avere compassione di centoventimila persone?» L'amore celeste abbraccia ogni creatura.",Pronto
53,Antico Testamento,La Visione di Isaia e il Carbone Ardente,Isaia 6,20:00,"Ecco a voi in 2 minuti: la vocazione del profeta Isaia nel tempio. Isaia contempla il Signore assiso su un trono eccelso mentre i serafini acclamano: «Santo, santo, santo è l'Eterno degli eserciti!» Riconoscendosi peccatore, teme per la propria vita. Un serafino vola con un carbone ardente preso dall'altare, tocca le sue labbra e purifica ogni colpa. Alla voce che chiede: «Chi manderò?», Isaia risponde fiducioso: «Eccomi, manda me!»",Pronto
54,Antico Testamento,La Promessa dell'Emmanuele,Isaia 7,20:00,"Ecco a voi in 2 minuti: il segno dell'Emmanuele e la vicinanza divina. In tempi di minaccia militare per Gerusalemme, il profeta Isaia invita il re a non cedere alla paura. Il Signore stesso concede un segno perenne: una vergine concepirà e darà alla luce un figlio, che sarà chiamato Emmanuele, cioè «Dio con noi». Nelle stagioni di angoscia, la promessa divina attesta che l'umanità non è mai abbandonata a se stessa.",Pronto
55,Antico Testamento,Il Principe della Pace,Isaia 9,20:00,"Ecco a voi in 2 minuti: la profezia della luce radiosa tra le tenebre. Il popolo che camminava nell'oscurità vede una gran luce splendere sul suo cammino. Un bambino è nato per portare sulle sue spalle la sovranità, chiamato Consigliere ammirabile, Dio potente, Padre perenne, Principe della pace. Il suo regno di giustizia ed equità non avrà fine. La speranza autentica dissolve la notte del timore.",Pronto
56,Antico Testamento,Il Ramo di Jesse e la Pace Universale,Isaia 11,20:00,"Ecco a voi in 2 minuti: la visione della riconciliazione cosmica. Dalle radici di Jesse germoglia un ramo santo su cui riposa lo Spirito di sapienza, intelletto e consiglio. Egli giudicherà i poveri con giustizia senza basarsi sull'apparenza esteriore. In quel giorno il lupo dimorerà con l'agnello, la pantera si sdraierà accanto al capretto e un fanciullo li guiderà. La pace divina trasforma ogni contrasto in armonia perfetta.",Pronto
57,Antico Testamento,Il Servo Sofferente e la Redenzione,Isaia 53,20:00,"Ecco a voi in 2 minuti: il mistero del servo che riscatta i cuori. Disprezzato e abbandonato dagli uomini, il servo accoglie su di sé i nostri dolori e le nostre infermità. Condotto al sacrificio come agnello muto, non apre la sua bocca. Dalle sue piaghe scaturisce la guarigione e dal suo dono totale la giustificazione per molti. L'amore fedele accetta la sofferenza per generare salvezza universale.",Pronto
58,Antico Testamento,La Vocazione di Geremia Fanciullo,Geremia 1,20:00,"Ecco a voi in 2 minuti: la chiamata di Geremia fin dal grembo materno. Il giovane Geremia si sente inadeguato a parlare: «Ahimè, Signore, non so parlare perché sono troppo giovane!» Ma l'Eterno gli tocca le labbra dicendo: «Non temere: prima che tu uscissi alla luce ti ho consacrato profeta delle nazioni. Io sono con te per liberarti.» Non occorre forza umana quando è la parola divina a sostenere i passi.",Pronto
59,Antico Testamento,La Parabola del Vaso del Vasaio,Geremia 18,20:00,"Ecco a voi in 2 minuti: la lezione del vasaio e dell'argilla modellata. Geremia scende alla bottega del vasaio e lo osserva lavorare al tornio. Quando il vaso d'argilla si guasta tra le sue mani, il maestro artigiano non lo getta, ma ricomincia con pazienza a modellarne un altro secondo la sua sapienza. L'Eterno mostra che ogni esistenza segnata da fragilità può essere rigenerata se si affida alle sue mani.",Pronto
60,Antico Testamento,La Nuova Alleanza nei Cuori,Geremia 31,20:00,"Ecco a voi in 2 minuti: il patto interiore impresso nella coscienza. Dopo anni di esilio e smarrimento, l'Eterno promette un'alleanza rinnovata non più su tavole di pietra esterne: «Metterò la mia legge nell'intimo del loro cuore e la imprimerò nella loro mente; io sarò il loro Dio ed essi saranno il mio popolo.» Ognuno conoscerà la verità da vicino, sperimentando il perdono che cancella ogni colpa passata.",Pronto
61,Antico Testamento,Geremia nella Cisterna di Melchia,Geremia 38,20:00,"Ecco a voi in 2 minuti: la liberazione di Geremia dal fondo fangoso. A causa delle sue profezie scomode, Geremia viene calato con corde in una cisterna priva d'acqua, sprofondando nel fango. Un servitore etiope coraggioso intercede presso il re e raduna stracci e corde per tirarlo fuori con dolcezza e salvarlo dalla morte. La provvidenza suscita sempre soccorritori generosi dove regna l'ingiustizia.",Pronto
62,Antico Testamento,La Visione delle Ossa Inaridite,Ezechiele 37,20:00,"Ecco a voi in 2 minuti: il soffio vitale nella valle desolata. Il profeta Ezechiele è condotto in mezzo a una pianura piena di ossa aride e sbiancate. Su comando divino comincia a profetizzare: le ossa si accostano, si coprono di nervi e carne. Poi invoca lo Spirito dai quattro venti: il soffio entra in essi e tornano a vivere formando un grande esercito. La speranza rifiorisce anche da ciò che sembrava per sempre perduto.",Pronto
63,Antico Testamento,La Torre di Guardia di Abacuc,Abacuc 2,20:00,"Ecco a voi in 2 minuti: la sentinella orante che attende fiduciosa. Di fronte alla violenza e al dubbio, il profeta Abacuc si mette di guardia sulla torre attendendo la risposta divina. L'Eterno gli comanda di scrivere la visione su tavole in caratteri chiari: anche se sembra tardare, essa si compirà per certo. «Il giusto vivrà per la sua fede.» La costanza nell'attesa custodisce l'anima nelle intemperie della storia.",Pronto
64,Antico Testamento,La Ricostruzione del Tempio con Zorobabele,Esdra 3,20:00,"Ecco a voi in 2 minuti: il canto di gioia tra le rovine di Gerusalemme. I reduci dall'esilio babilonese si radunano come un sol uomo nella città santa. Ricostruiscono l'altare e gettano le prime fondamenta del nuovo tempio. I sacerdoti con le trombe e i leviti con i cembali innalzano inni di ringraziamento: «Egli è buono, la sua misericordia dura per sempre.» La perseveranza comune fa rinascere la vita dalle ceneri.",Pronto
65,Antico Testamento,Neemia Ispeziona le Mura di Notte,Neemia 2,20:00,"Ecco a voi in 2 minuti: la vigilanza accorta del costruttore Neemia. Commosso dalle notizie sulla desolazione di Gerusalemme, Neemia ottiene il permesso di tornare e ispeziona a cavallo le mura distrutte nel silenzio della notte. Poi sprona i concittadini: «Venite, riedifichiamo le mura e non saremo più nel disonore!» Tutti uniscono le forze per ricostruire la casa comune. La determinazione guidata dalla preghiera supera ogni maceria.",Pronto
66,Antico Testamento,Il Coraggio della Regina Ester,Ester 4,20:00,"Ecco a voi in 2 minuti: il sacrificio audace per salvare il popolo. Un editto spietato ordina lo sterminio della comunità ebraica nell'impero persiano. Mardocheo sprona Ester a intercedere presso il sovrano: «Chi sa se non sei diventata regina proprio per un tempo come questo?» Ester digiuna per tre giorni e varca la soglia reale senza invito: «Se devo perire, che io perisca!» Il coraggio generoso ribalta i disegni di morte.",Pronto
67,Antico Testamento,Il Trionfo di Mardocheo a Susa,Ester 6,20:00,"Ecco a voi in 2 minuti: l'onore inatteso tributato alla lealtà. Nella notte il re non riesce a dormire e fa leggere le cronache, scoprendo che Mardocheo aveva sventato una congiura senza ricevere ricompensa. Quando il perfido visir giunge per chiedere la sua forca, il re lo costringe a condurre a cavallo Mardocheo in vesti regali per la piazza gridando il suo onore. La superbia cade rovinosamente, la rettitudine trionfa.",Pronto
68,Antico Testamento,La Fede Salda di Giobbe nella Tempesta,Giobbe 1,20:00,"Ecco a voi in 2 minuti: l'integrità spirituale che vince la sventura. Privato improvvisamente di greggi, servi e figli da tempeste e predoni, Giobbe non maledice il cielo, ma si prostra a terra in preghiera: «Nudo uscii dal grembo di mia madre e nudo vi tornerò; l'Eterno ha dato, l'Eterno ha tolto: sia benedetto il nome dell'Eterno.» La fede sincera non mercanteggia la grazia, ma resta fedele nel dolore.",Pronto
69,Antico Testamento,Giobbe Contempla il Creatore,Giobbe 42,20:00,"Ecco a voi in 2 minuti: lo sguardo che passa dal sentito dire alla visione. Dopo lunghe sofferenze e domande angosciose, Dio risponde a Giobbe dal seno della tempesta mostrandogli l'immensità del cosmo e la meraviglia della creazione. Giobbe esclama commosso: «Il mio orecchio aveva sentito parlare di te, ma ora il mio occhio ti ha visto!» Il Signore ristabilisce la sua vita ricolmandolo di pace e benedizioni raddoppiate.",Pronto
70,Antico Testamento,Il Salmo del Pastore Buono,Salmi 23,20:00,"Ecco a voi in 2 minuti: il riposo sereno nell'ombra dell'Eterno. «L'Eterno è il mio pastore: nulla mi mancherà. Mi fa riposare in pascoli verdeggianti e mi conduce lungo acque tranquille.» Anche se dovessi camminare nella valle dell'ombra della morte, non temerei alcun male, perché il suo bastone e la sua verga donano sicurezza. La bontà e la misericordia accompagnano ogni giorno della vita.",Pronto
71,Antico Testamento,La Meraviglia del Firmamento,Salmi 8,20:00,"Ecco a voi in 2 minuti: la dignità dell'uomo nell'immensità del cielo. Davide contempla il cielo notturno, opera delle dita di Dio, la luna e le stelle fissate con sapienza: «Che cos'è mai l'uomo perché tu ti ricordi di lui?» Eppure il Creatore lo ha fatto di poco inferiore agli angeli, coronandolo di gloria e affidandogli la custodia delle opere terrestri. La gratitudine eleva l'anima alla contemplazione pura.",Pronto
72,Antico Testamento,La Lampada per i Miei Passi,Salmi 119,20:00,"Ecco a voi in 2 minuti: la guida sicura per non smarrire il cammino. Tra i sentieri incerti del mondo e le insidie del buio, il salmista canta: «La tua parola è una lampada al mio piede e una luce sul mio sentiero.» Custodire i precetti di giustizia nel segreto del cuore allontana l'errore e infonde pace duratura. La verità divina rischiara le scelte quotidiane con limpida fermezza.",Pronto
73,Antico Testamento,La Donna Virtuosa e Laboriosa,Proverbi 31,20:00,"Ecco a voi in 2 minuti: l'elogio della saggezza laboriosa e accogliente. Il libro dei Proverbi descrive una donna dal valore superiore a perle preziose: lavora con gioia, provvede alla casa con ordine, apre le mani al povero e stende le braccia all'indigente. Parla con bontà e il suo timore di Dio è la sua vera corona. La dedizione quotidiana rende solida e felice ogni dimora.",Pronto
74,Antico Testamento,Il Tempo per Ogni Cosa sotto il Cielo,Ecclesiaste 3,20:00,"Ecco a voi in 2 minuti: l'armonia delle stagioni dell'esistenza. «Per ogni cosa c'è la sua stagione, c'è un tempo per ogni faccenda sotto il cielo: un tempo per nascere e uno per morire, un tempo per piangere e uno per ridere, un tempo per abbracciare e uno per astenersi.» Accogliere i mutamenti della vita con serenità interiore insegna la bellezza del disegno divino.",Pronto
75,Vangelo,L'Annuncio dell'Arcangelo a Maria,Luca 1,20:00,"Ecco a voi in 2 minuti: il saluto di grazia nella quiete di Nazaret. L'arcangelo Gabriele entra nella dimora di Maria e dice: «Rallegrati, piena di grazia: il Signore è con te!» Di fronte all'annuncio che darà alla luce il Figlio dell'Altissimo per virtù dello Spirito Santo, Maria vince ogni timore e pronuncia il suo assenso: «Ecco la serva del Signore: si faccia di me secondo la tua parola.» L'umiltà accoglie l'infinito.",Pronto
76,Vangelo,La Visita di Maria a Elisabetta e il Magnificat,Luca 1,20:00,"Ecco a voi in 2 minuti: l'incontro di gioia sui monti di Giuda. Maria raggiunge in fretta la cugina Elisabetta: appena il suo saluto risuona, il bambino sussulta nel grembo e la cugina proclama la sua beatitudine. Maria risponde con il canto del Magnificat: «L'anima mia magnifica il Signore, perché ha guardato l'umiltà della sua serva e ha rovesciato i potenti dai troni.» La lode fiorisce dove c'è vera fede.",Pronto
77,Vangelo,L'Angelo a Giuseppe nel Sogno,Matteo 1,20:00,"Ecco a voi in 2 minuti: la giustizia silenziosa di Giuseppe. Trovandosi in grave dilemma interiore, Giuseppe decide di allontanare Maria in segreto per non esporla all'infamia. Ma un angelo gli appare in sogno dicendo: «Giuseppe, figlio di Davide, non temere di prendere con te Maria, perché ciò che è generato in lei viene dallo Spirito Santo.» Al risveglio obbedisce con fedeltà. La fede vera si manifesta nell'obbedienza quieta.",Pronto
78,Vangelo,L'Adorazione dei Magi e la Stella,Matteo 2,20:00,"Ecco a voi in 2 minuti: il cammino sapiente dei re dall'Oriente. Guidati dal sorgere di una stella prodigiosa, alcuni saggi giungono a Betlemme per rendere omaggio al Re dei re. Entrati nella dimora, trovano il fanciullo con Maria sua madre, si prostrano in adorazione e aprono i loro forzieri offrendo oro, incenso e mirra. Chi cerca la verità con cuore retto giunge sempre alla luce che non tramonta.",Pronto
79,Vangelo,La Fuga in Egitto nella Notte,Matteo 2,20:00,"Ecco a voi in 2 minuti: la custodia premurosa della vita nascente. Avvertito in sogno della minaccia del re Erode contro il bambino, Giuseppe si alza nella notte, prende con sé Maria e il piccolo e parte verso l'Egitto. Affrontano i pericoli del deserto sotto la protezione dell'Altissimo, custodi umili del dono più prezioso. La provvidenza guida i passi di chi protegge i deboli con dedizione.",Pronto
80,Vangelo,Il Dodicenne Gesù nel Tempio,Luca 2,20:00,"Ecco a voi in 2 minuti: la sapienza tra i maestri di Gerusalemme. Dopo la festa di Pasqua, Maria e Giuseppe cercano il fanciullo per tre giorni tra i parenti. Lo ritrovano nel tempio, seduto tra i dottori della Legge, intento ad ascoltarli e fare domande profonde che stupiscono tutti. Alla madre ansiosa risponde con dolcezza: «Non sapevate che io devo occuparmi delle cose del Padre mio?» La vocazione sacra guida ogni suo passo.",Pronto
